"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"25-03",2025-03-17T13:45:00.000Z,2025-03-17T14:15:00.000Z,"Mesure par ADCP",0.788,8.18,2025-03-17T15:37:56.000Z
"24-05",2024-08-12T11:35:00.000Z,2024-08-12T12:00:00.000Z,"Mesure par ADCP",0.74,5.38,2024-08-14T06:04:14.000Z
"25-04",2025-03-24T07:55:00.000Z,2025-03-24T08:25:00.000Z,"Mesure par ADCP",2.25,178,2025-03-25T09:43:06.000Z
"21-01",2021-02-05T12:10:00.000Z,2021-02-05T12:30:00.000Z,"Mesure par ADCP",1.21,40.4,2023-05-26T07:00:02.000Z
"20-05",2020-12-18T13:10:00.000Z,2020-12-18T13:30:00.000Z,"Mesure par ADCP",0.935,16.1,2023-05-26T07:00:02.000Z
"20-04",2020-10-16T08:55:00.000Z,2020-10-16T09:10:00.000Z,"Mesure par ADCP",0.8250000000000001,9.700000000000001,2023-05-26T07:00:03.000Z
"20-03",2020-07-16T13:30:00.000Z,2020-07-16T14:10:00.000Z,"Mesure par ADCP",0.77,7.1000000000000005,2023-05-26T07:00:03.000Z
"20-02",2020-06-26T08:35:00.000Z,2020-06-26T09:10:00.000Z,"Mesure par ADCP",0.9500000000000001,16.9,2023-05-26T07:00:03.000Z
"20-01",2020-01-22T18:30:00.000Z,2020-01-22T19:10:00.000Z,"Jaugeage par mesure de vitesse en surface",5.625,814,2023-05-26T07:00:04.000Z
"19-06",2019-10-23T09:00:00.000Z,2019-10-23T09:45:00.000Z,"Mesure par ADCP",3.5300000000000002,350,2023-05-26T07:00:04.000Z
"19-05",2019-09-06T08:00:00.000Z,2019-09-06T08:55:00.000Z,"Mesure par ADCP",0.625,2.89,2023-05-26T07:00:04.000Z
"19-04",2019-09-04T08:30:00.000Z,2019-09-04T09:00:00.000Z,"Mesure par ADCP",0.65,3.49,2023-05-26T07:00:04.000Z
"19-03",2019-08-23T14:05:00.000Z,2019-08-23T14:35:00.000Z,"Mesure par ADCP",0.78,7.98,2023-05-26T07:00:05.000Z
"19-02",2019-06-14T13:05:00.000Z,2019-06-14T13:35:00.000Z,"Mesure par ADCP",0.795,7.672000000000001,2023-05-26T07:00:05.000Z
"19-01",2019-02-21T13:57:00.000Z,2019-02-21T14:10:00.000Z,"Mesure par ADCP",0.925,15.608,2023-05-26T07:00:05.000Z
"22-09",2022-10-14T10:00:00.000Z,2022-10-14T10:30:00.000Z,"Mesure par ADCP",0.668,3.7,2023-05-26T06:59:56.000Z
"22-08c",2022-09-15T10:40:00.000Z,2022-09-15T11:05:00.000Z,"Mesure par ADCP",0.64,3.18,2023-05-26T06:59:56.000Z
"22-08b",2022-09-15T09:25:00.000Z,2022-09-15T10:10:00.000Z,"Mesure par ADCP",0.64,2.95,2023-05-26T06:59:56.000Z
"22-08a",2022-09-15T08:20:00.000Z,2022-09-15T08:55:00.000Z,"Mesure par ADCP",0.645,3.37,2023-05-26T06:59:56.000Z
"22-07",2022-07-29T07:45:00.000Z,2022-07-29T08:15:00.000Z,"Mesure par ADCP",0.785,9.02,2023-05-26T06:59:57.000Z
"22-06",2022-07-13T12:05:00.000Z,2022-07-13T12:40:00.000Z,"Mesure par ADCP",0.705,5.43,2023-05-26T06:59:57.000Z
"22-05e",2022-06-15T12:30:00.000Z,2022-06-15T13:05:00.000Z,"Mesure par ADCP",0.665,4.01,2023-05-26T06:59:57.000Z
"22-05d",2022-06-15T12:16:00.000Z,2022-06-15T13:16:00.000Z,"Mesure par ADCP",0.675,4.21,2023-05-26T06:59:58.000Z
"22-05c",2022-06-15T12:15:00.000Z,2022-06-15T13:15:00.000Z,"Mesure par ADCP",0.68,4.59,2023-05-26T06:59:58.000Z
"18-05",2018-10-15T09:00:00.000Z,2018-10-15T09:30:00.000Z,"Mesure par ADCP",5.88,857,2023-05-26T07:00:06.000Z
"22-05b",2022-06-15T11:50:00.000Z,2022-06-15T12:10:00.000Z,"Mesure par ADCP",0.705,4.92,2023-05-26T06:59:58.000Z
"22-05a",2022-06-15T11:35:00.000Z,2022-06-15T11:45:00.000Z,"Mesure par ADCP",0.738,6.22,2023-05-26T06:59:59.000Z
"22-04",2022-05-17T14:45:00.000Z,2022-05-17T15:05:00.000Z,"Mesure par ADCP",0.985,21.3,2023-05-26T06:59:59.000Z
"22-03",2022-04-26T07:45:00.000Z,2022-04-26T08:00:00.000Z,"Mesure par ADCP",1.12,32.78,2023-05-26T06:59:59.000Z
"22-02",2022-01-10T16:50:00.000Z,2022-01-10T17:20:00.000Z,"Mesure par ADCP",3.8200000000000003,430,2023-05-26T06:59:59.000Z
"22-01",2022-01-10T15:50:00.000Z,2022-01-10T16:20:00.000Z,"Mesure par ADCP",3.9450000000000003,455,2023-05-26T07:00:00.000Z
"21-07",2021-12-31T11:00:00.000Z,2021-12-31T11:30:00.000Z,"Mesure par ADCP",1.11,30.2,2023-05-26T07:00:00.000Z
"21-06",2021-10-19T10:45:00.000Z,2021-10-19T13:05:00.000Z,"Mesure par ADCP",0.653,2.85,2023-05-26T07:00:01.000Z
"21-05",2021-09-24T07:30:00.000Z,2021-09-24T08:10:00.000Z,"Mesure par ADCP",0.67,3.4,2023-05-26T07:00:01.000Z
"21-04",2021-08-13T13:10:00.000Z,2021-08-13T13:40:00.000Z,"Mesure par ADCP",0.73,4.47,2023-05-26T07:00:01.000Z
"21-03",2021-07-08T14:10:00.000Z,2021-07-08T14:45:00.000Z,"Mesure par ADCP",0.73,5.3100000000000005,2023-05-26T07:00:01.000Z
"21-02",2021-05-21T07:45:00.000Z,2021-05-21T08:25:00.000Z,"Mesure par ADCP",0.845,10.4,2023-05-26T07:00:02.000Z
"92-6",1992-06-11T17:20:00.000Z,1992-06-11T18:15:00.000Z,"Autres",2.72,240,2023-05-26T07:01:26.000Z
"2001-04-eq",2001-04-25T09:30:00.000Z,2001-04-25T10:30:00.000Z,"Saumon par intégration",1.18,37.300000000000004,2023-05-26T07:00:46.000Z
"2001-03-eq",2001-04-13T11:00:00.000Z,2001-04-13T12:00:00.000Z,"Autres",1.41,57.9,2023-05-26T07:00:46.000Z
"2001-02-eq",2001-04-13T10:00:00.000Z,2001-04-13T11:00:00.000Z,"Saumon par intégration",1.41,61.2,2023-05-26T07:00:47.000Z
