numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
-1,"---Courantomètre---",,0.1,,,,,,,,,,
1,"2-21811 C2 remplacée par 109",1.28,0.0915,0.04,,0.104,0.024,,,,,,
2,"3-119297 (saumon 25 kg)",0.14,0.9059,0.026,0.55,1.0206,0.01,,1.0388,0,,,
3,"4-116828 remplacée par 309",,0.1331,0.025,,,,,,,,,
4,"1-14410 remplacée par 409",0.58,0.2458,0.014,,0.2597,0.006,,,,,,
5,"1-135308 à 513 (saumon 25 kg)",0.62,0.2251,0.018,,0.2478,0.004,,,,,,
7,"2-220 250 125 SEBA",1.34,0.2569,0.0058,3.95,0.2487,0.0168,,0.2547,0.0069,,,
8,"1-145109-8 (perche Ø 20) ",0.71,0.224,0.037,,0.252,0.017,,,,,,
9,"2-117153 plastique saum 25 kg",0.35,0.4213,0.027,,0.4847,0.005,,,,,,
11,"3-125407 (50kg) rempl 111",0.13,0.9371,0.02,0.45,1.0266,0.008,,1.0532,-0.004,,,
12,"2-137622 (Delphin 50 kg)",0.36,0.4967,0.007,4.8,0.5214,0.002,,0.5206,0.003,,,
32,"2-9662",0.45,0.4492,0.03,,0.5178,-0.001,,,,,,
50,"2-117153 plastique saum 50 kg",0.33,0.4213,0.027,,0.4872,0.005,,,,,,
51,"1-135308 à 513 (perche Ø 20)",0.61,0.2251,0.018,,0.2485,0.004,,,,,,
52,"1-135308 à 513 (saumon 50 kg)",0.58,0.2251,0.018,,0.2491,0.004,,,,,,
109,"2-21811C2microréetal_25_05_09",3.24,0.1078,0.012,,0.1041,0.024,,,,,,
112,"C2 / 120919",2.42,0.0626,0.015,7.58,0.0564,0.03,,0.0531,0.055,,,
214,"C2/141556",0.96,0.0978,0.021,,0.103,0.016,,,,,,
309,"4-116828_réetal_piré_29_05_09",0.82,0.1285,0.028,,0.1334,0.024,,,,,,
312,"C2/121044",0.5600000000000001,0.2226,0.025,,0.255,0.007,,,,,,
409,"1-14410saum25kg_réeta_29_05_09",0.6,0.2493,0.016,,0.2593,0.01,,,,,,
681,"2-62690",6.52,0.1041,0.013,,0.1018,0.028,,,,,,
682,"1-45120",2.73,0.0593,0.024,6.67,0.0571,0.03,,0.0535,0.047,,,
42,"1-169241remplacée par 420",2.9,0.062,0.014,8.18,0.0558,0.032,,0.0536,0.05,,,
43,"2-123162",1.54,0.1061,0.01,,0.1035,0.014,,,,,,
44,"3-171786 remplacée par 440",0.82,0.2394,0.018,,0.2576,0.003,,,,,,
500,"Sarre1-120919 remplacée par401",2.42,0.0626,0.015,7.58,0.0564,0.03,17.84,0.0531,0.055,,0,0
46,"1-3/12423",1.71,0.0613,0.027,8.67,0.0572,0.034,,0.0557,0.047,,,
34,"9662/1a'",0.72,0.2477,0.014,,0.2616,0.004,,,,,,
49,"1-383735",2.56,0.06370000000000001,0.016,12.1,0.0555,0.037,,0.0536,0.06,,,
501,"Sarre2-141556 remplacée par402",0.96,0.0978,0.021,19.29,0.103,0.016,,0,0,,,
502,"Sarre3-121044 remplacée par403",0.5600000000000001,0.2226,0.025,9.710000000000001,0.255,0.007,,0,0,,,
110,"2-441895 C2 Bas-Rhin",12,0.1028,0.015,,0.1018,0.027,,,,,,
1242,"3-12423 (hélice 68)",0.5600000000000001,0.2317,0.021,,0.2569,0.007,,,,,,
6,"SAUMON C31 4-142065",1.48,0.1292,0.028,18.48,0.1346,0.02,,0,0,,,
10,"1a'-9662 Saumon 50kg",0.72,0.2477,0.014,,0.2616,0.004,,,,,,
13,"pirée 3-329578 nouv hélice",0.65,0.2391,0.017,,0.2544,0.007,,,,,,
14,"pirée 1-341995 nouv hélice",2.08,0.0619,0.02,7.81,0.0566,0.031,17.62,0.0534,0.056,,0,0
999,"2-137622",0.36,0.4967,0.007,4.8,0.5214,0.002,,0.5206,0.003,,,
15,"1-45120",2.73,0.0593,0.024,6.67,0.0571,0.03,,0.0535,0.054,,,
16,"1-76847   Saumon 25kg",,0.2556,0.008,,,,,,,,,
18,"3-99546",0.6,0.2295,0.023,,0.253,0.008999999999999999,,,,,,
19,"2-9662  Saumon 25kg",0.47,0.4873,0.014,,0.515,0.001,,,,,,
20,"2-62690",6.52,0.1041,0.013,,0.1018,0.028,,,,,,
21,"1-96963",1.91,0.0659,0.014,9.41,0.0565,0.032,,0.0531,0.064,,,
22,"2-114397",,0.1031,0.02,,,,,,,,,
23,"6-010074",1.23,0.0895,0.0561,,0.1026,0.04,,,,,,
602,"2-445471",10.71,0.1039,0.015,,0.1025,0.03,,,,,,
603,"3-444806",0.82,0.2318,0.021,,0.255,0.002,,,,,,
81,"Nivus",,1,0,,,,,,,,,
24,"3-22971",0.6,0.238,0.016,,0.258,0.004,,,,,,
25,"2-220 250 125",1.34,0.2569,0.0058,3.95,0.2487,0.0168,,0.2547,0,,,
26,"5-9245",5.88,0.0577,0.033,,0.056,0.043,,,,,,
27,"3-119297",0.14,0.9059,0.026,0.55,1.0206,0.01,,1.0388,0,,,
28,"1-965",0.4,0.2917,0.0138,,0.3203,0.0024,,,,,,
29,"1-60956",0.63,0.2435,0.016,,0.2595,0.006,,,,,,
30,"9662/1a'  Saumon 25kg",,0.2597,0.006,,,,,,,,,
31,"1/35384   Saumon 25kg",0.62,0.2475,0.013,,0.2605,0.005,,,,,,
33,"1-34003 Saumon 25kg",0.7,0.2491,0.015,,0.2619,0.006,,,,,,
35,"76847/1        saumon 50kg",0.67,0.2471,0.014,,0.2575,0.007,,,,,,
36,"3/12423",0.5600000000000001,0.2317,0.021,,0.2569,0.007,,,,,,
37,"2/137622   saumon 50kg",0.36,0.4967,0.007,4.8,0.5214,0.002,,0.5206,0.003,,,
38,"1-12621 Saumon 50kg",1.11,0.255,0.01,,0.2613,0.003,,,,,,
39,"3-5084 Saumon 50kg",0.38,0.488,0.014,,0.52,0.002,,,,,,
40,"3-3361   Perche",2.94,0.1235,0.026,,0.1201,0.036,,,,,,
41,"2/137622",0.44,0.4912,0.012,,0.5183,0.001,,,,,,
45,"3/9245",0.87,0.2484,0.011,,0.253,0.007,,,,,,
47,"2-23998",5.33,0.1039,0.011,13.13,0.1024,0.019,,0.1008,0.04,,,
48,"3-55602",0.86,0.2337,0.019,6.47,0.2547,0.001,,0.253,0.012,,,
1468,"1-14410 du 67",0.6,0.2493,0.016,,0.2593,0.01,,,,,,
150,"2-441881 (67 secours)",6.92,0.1044,0.014,,0.1031,0.023,,,,,,
57,"2-309119",11,0.103,0.015,,0.102,0.026,,,,,,
420,"1-169241 réétal 03/2023",2.38,0.0641,0.015,11.25,0.0557,0.035,,0.0533,0.062,,,
440,"3-171786 réétal 03/2023",0.93,0.2451,0.015,,0.258,0.003,,,,,,
58,"1-168454 saumon 67",1.19,0.2577,0.008999999999999999,,0.2619,0.004,,,,,,
59,"2-168609 saumon 67",0.38,0.4826,0.017,3.81,0.5194,0.003,,0.5312,-0.042,,,
111,"3-125407 (50kg) rééetal 03/23",0.2,0.9444,0.023,1.05,1.0418,0.004,1.84,1.0542,-0.008999999999999999,,1.0863,-0.068
401,"Sarre 1-120919 réétal 03/23",2.47,0.06419999999999999,0.016,10.67,0.0557,0.037,,0.0527,0.06900000000000001,,,
402,"Sarre 2-141556 rééetal 03/23",2.63,0.1028,0.016,9,0.1047,0.011,,0.1027,0.029,,,
403,"Sarre 3-121044 réétal 03/23",0.63,0.211,0.033,,0.2552,0.005,,,,,,
53,"2-441920 (Sarre)",1.58,0.1004,0.018,14.21,0.1042,0.012,,0.1023,0.039,,,
601,"1-445418",2.12,0.0622,0.018,10,0.057,0.029,,0.054,0.059,,,
