nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,synchronisation,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,codehydro3,codesitehydro3


















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































","02/15/23 15:09:00","00",,,,"CHÂTEAU-LARCHER","86065",8400,"08/22/25 14:32:00",,"L231301001","L2313010"
9,"L2341630","POITIERS (PONT NEUF)","Le Clain",447.86,2177.25,,2120,"S","007007",15.3,2.04,88.7,144,180,"POITIERSPN",,,"00",,,,"POITIERS","86194",6895,"08/22/25 15:12:00","07/18/06 15:30:00","L234161002","L2341610"
10,"L5001810","SAINT VICTOR EN MARCHE","GARTEMPE",557463,2124498,,78,"S","007007",1.11,0.189,9.4,13.1,15.6,"L5001810","Passage en heure TU le 01/01/2009
Nivellement du 0 de l'échelle réalisé le 28/05/2009","03/31/23 11:22:00","00",,,,"SAINT-VICTOR-EN-MARCHE","23248",42839,"08/22/25 14:19:00",,"L500181001","L5001810"
11,"L5034010","FOLLES (FORGEFER)","ARDOUR",583775,6556310,,131,"S","007007",1.73,0.319,13.1,18.1,21.4,"L5034010",,"03/31/23 11:30:00",,,,,"FOLLES ","87067",31762,"08/22/25 14:24:00",,"L503401001","L5034010"
12,"L5101810","FOLLES (BESSINES)","GARTEMPE",579000,6558316,,570,"S","007007",7.88,1.25,48.3,65.8,77.3,"L5101810",,"03/31/23 11:44:00","00",,,,"FOLLES ","87067",29132,"08/22/25 14:29:00",,"L510181001","L5101810"
13,"L5134010","DROUX","SEMME",556619,6562905,,177,"S","007007",1.92,0.151,20.1,39.9,36.3,"L5134010",,"03/31/23 13:11:00",,,,,"DROUX ","87061",18958,"08/22/25 14:31:00",,"L513401001","L5134010"
14,"L5223020","BELLAC","VINCOU",547233,6561306,,286,"S","007007",3.41,0.217,29.2,40,47.1,"L5223020",,"03/31/23 13:16:00","00",,,,"BELLAC ","87011",17016,"08/22/25 14:35:00",,"L522302001","L5223020"
15,"L5301810","SAINT BONNET DE BELLAC","Gartempe",541791,6566963,,1399.77,"S","007007",16.3,2.18,113,154,181,"ST BONNET",,"03/31/23 13:19:00",,,,,"SAINT-BONNET-DE-BELLAC","87139",15751,"08/22/25 14:37:00","12/21/04 09:23:00","L530181001","L5301810"
16,"L6020710","LEUGNY","CREUSE",525263,6648015,,8020,"S","007007",72.5,9.720000000000001,596,862,1040,"L6020710",,"03/24/23 15:29:00","00",,,,"LEUGNY","86130",4373,"08/22/25 11:23:00",,"L602071001","L6020710"
17,"L6214010","GRAND PRESSIGNY (PONT SAINT MARTIN)","L'Aigronne",533019,6648602,,148.75,"S","007007",,,,,,"PONT SAINT",,,"10",,,,"GRAND PRESSIGNY","37113",5704,"08/22/25 11:09:00","02/02/17 08:37:00","L621000301","L6210003"
18,"L6202040","GRAND PRESSIGNY (PONT DE FER)","la Claise",532102,6649502,,1053.9301,"S","007007",,,,,,"PONT DE FE",,,"00",,,,"GRAND PRESSIGNY","37113",5379,"08/22/25 11:00:00","01/26/17 15:24:00","L621000201","L6210002"
19,"L6323010","MARCE SUR ESVES","Esves",522019,6661612,,222.85001,"S","007007",0.795,0.255,6.64,10.2,12.5,"MARCE",,"03/24/23 15:49:00",,,,,"MARCE-SUR-ESVES","37145",5534,"10/03/25 12:12:00","10/28/14 07:43:00","L632000201","L6320002"
20,"L8122125","SAINT LOUP LAMAIRE (BOUSSIN)","thouet",,,,,"S","007007",4.25,0.096,109,185,284,"L8122125",,,"00",,,,,,,"10/24/25 11:09:00","09/10/12 11:47:00","L812212004","L8122120"
21,"L8134020","SAINT LOUP LAMAIRE (PUY TERRIER)","LE CEBRON",407005,2200247,,162,"S","007007",0.98,0.029,26,45,58,"L8134020"," Altitude : 94.26m","09/24/03 00:00:00","00",,,,"SAINT LOUP LAMAIRE","79268",9438,"10/03/25 12:14:00",,"L813402001","L8134020"
22,"L8213010","LUZAY","le THOUARET",407150,2215902,,308,"S","007007",1.74,0.003,39,59,73,"L8213010","LA PLANCHE","06/21/04 00:00:00","00",,,,"LUZAY ","79161",6164,"10/24/25 10:56:00",,"L821301001","L8213010"
23,"N4010610","AZAY LE BRULE - PONT DE RICOU","SEVRE NIORTAISE",450818,6592516,875.028,237.37,"S","007007",4.2,0.61,27.4,45,56.7,"AZAYRICOU",,"02/03/25 12:05:00","00",,,,"AZAY LE BRULE","79024",4791,"10/03/25 12:19:00",,"N401061001","N4010610"
24,"N4104010","SAIVRES (DONIA MAUNAY)","LE CHAMBON",403.936,2163271,,61.099998,"S","007007",,,,,,"SAIVRES"," Altitude : 72.57m

Station QMJ

Station sous influence de la végétation

2 sites de jaugeages: 
- au pont pour les hautes et moyennes eaux
- aménagement de section 5 m en aval du pont pour les basses eaux","11/07/02 00:00:00","00",,,,,,,"01/03/25 17:00:00",,"N410401001","N4104010"
25,"N4104020","SAINT GEORGES DE NOISNE (M DES ISLES)","LE CHAMBON",402748,2170549,,30,"S","007007",,,,,,"ST_GEORGES","Station QMJ

enjeu de la station: mesurer le débit qui entre dans la retenue
personnes intéressées par les QMJ --> gestionnaire barrage","03/06/00 00:00:00","00",,,,,,,"10/03/25 12:16:00",,"N410402001","N4104020"
26,"N4104030","AZAY LE BRULE - PONT DE BEDANE","LE CHAMBON",397213,2159433,992.26,130,"S","007007",1.48,0.141,19.3,32.7,41.6,"AZAYBEDANE","Station QMJ

2 sites de jaugeages: 
- au pont pour les hautes et moyennes eaux
- aménagement de section 50 m en amont du pont pour les basses eaux","03/06/00 00:00:00","00",,,,"AZAY-LE-BRULE","79024",4395,"10/03/25 12:19:00",,"N410403001","N4104030"
27,"N5101710","SAINT HILAIRE DES LOGES","L'AUTISE",419464,6602439,973.592,243.92999,"S","007007",2.73,0.014,45,60.3,70.40000000000001,"ST_HILAIRE","Proprietaire seuil/pelle aval : Antoine Guillon 06 17 86 14 97

Altitude : 16.77m

Station QMJ

2 sites de jaugeages:
- hautes et moyennes eaux au pont
- basses eau site en amont

pb sensibilité station en basses eaux, à étudier","02/03/25 12:30:00","00",,,,"SAINT-HILAIRE-DES-LOGES","85227",1691,"09/15/25 13:48:00",,"N510171001","N5101710"
28,"N6003020","MAUZE SUR LE MIGNON","LE MIGNON",367001,2138720,,220,"S","007007",,,,,,"MAUZE","MOULIN NEUF","02/01/01 00:00:00","00",,,,"MAUZÉ-SUR-LE-MIGNON","79170",0,"10/03/25 11:48:00",,"N600302002","N6003020"
29,"N6014005","GRANZAY GRIPT","La Courance",431230,6575265,,76.889999,"S","007007",,,4.78,9.27,12.2,"GRANZAY",,"02/03/25 12:24:00",,,,,"GRANZAY-GRIPT","79137",2727,"02/03/25 12:24:00","06/28/10 09:36:00","N601401401","N6014014"
30,"N7101810","FOUSSAIS PAYRE","VENDEE",369.35,2171.15,,157,"S","007007",1.79,0.008,28.3,42,51.1,"FOUSSAIS","PONT D'IZARD","02/03/25 12:01:00","10",,285,40,"FOUSSAIS-PAYRÉ","85094",4865,"09/18/25 17:18:00",,"N710181010","N7101810"
31,"N7114010","ANTIGNY (MOULIN TEXIER)","MERE",411100,6618057,,59,"S","007007",0.733,0.016,12.4,14.7,20.7,"ANTIGNY","Cote seuil noyer à préciser et cote seuil pour débit nul","02/03/25 11:56:00","10",,195,95,"ANTIGNY","85005",5712,"04/10/25 11:23:00",,"N711401010","N7114010"
32,"N7121810","PISSOTTE","VENDEE",408784,6606535,,391,"S","007007",4.21,0.143,48.1,72.5,88.7,"PISSOTTE","PONT DE CROCHET","02/03/25 12:16:00","10",,,,"PISSOTTE","85176",1045,"02/03/25 12:16:00",,"N712181010","N7121810"
33,"N7125400","FONTENAY LE COMTE (GUE MIGNE)","Longèves",405427,6603044,,69.580002,"S","007007",,,,,,"FONTENAY","Ancien code hydro 2 N7125400",,"10",,135,,"FONTENAY-LE-COMTE","85092",352,"02/03/25 13:03:00","02/21/17 15:50:00","N712181201","N7121812"
34,"R0020011","SURIS","LA CHARENTE",516637,6530249,637748,110,"S","007007",1.44,0.14,21,34,42,"R0020011","changement gestionnaire le 01/01/2015 : DREAL Limousin (auparavant SPC La Rochelle)","11/28/02 00:00:00","00",,,,"SURIS","16376",18800,"08/08/25 15:09:00",,"R002001002","R0020010"
35,"R0100010","CHARROUX - (PONT DE ROCHEMEAUX)","CHARENTE",448750,2129280,696934,346,"S","007007",4.01,0.41,47,69,84,"R0100010"," Altitude : 115.93m

Station QMJ

Point de débordement obtenu par modélisation (avril 2014) environ 24 m3/s","11/08/02 00:00:00","00",,,200,"CHARROUX","86061",11599,"08/08/25 11:06:00",,"R011002001","R0110020"
36,"R0110010","SAINT SAVIOL - (PONT BRIDE)","CHARENTE",438183,2128359,713432,492,"S","007007",5.5,1,55,82,100,"R0110010"," Altitude : 92.00m

Station Prévision de crue et hydrométrie
Station QMJ

Point de débordement cote 0.65 m et Q= 30 m3/s (modelisation avril 2014)","11/08/02 00:00:00","00",,,,"SAINT-SAVIOL","86247",10172,"10/03/25 12:10:00",,"R011001001","R0110010"
37,"R0210010","POURSAC","Argentor",438761,2108868,0.998,92.330002,"S","007007",1.07,0.1,8.359999999999999,10.9,12.6,"R0210010","reprise du suivi de la station par le SPC 17 à compter de mai 2010

Station QMJ",,,,,,"POURSAC","16268",7371,"08/08/25 11:14:00","05/10/10 08:37:00","R021001001","R0210010"
38,"R0250010","SAINT FRONT","Son-Sonnette",441047,2101255,0.994,191.39999,"S","007007",1.9,0.17,18,26.7,32.4,"R0250010",,,"00",,,,"SAINT-FRONT","16318",7104,"11/05/25 15:48:00","05/10/10 08:37:00","R025001001","R0250010"
39,"R1054010","SAINT CIERS SUR BONNIEURE (VILLEBETTE)","LA BONNIEURE",437880,2098840,991555,203,"S","007007",1.58,0.03,18.5,30.5,38.5,"R1054010"," Altitude : 65.00m","11/08/02 00:00:00","00",,140,,"SAINT-CIERS-SUR-BONNIEURE","16307",6371,"11/05/25 15:54:00",,"R125001001","R1250010"
40,"R1132510","MAISONNAIS SUR TARDOIRE","La Tardoire",520468,6516797,924085,138,"S","007007",2.01,0.263,17.8,25.4,30.5,"R1132510",".changement gestionnaire le 01/01/2015 : DREAL Limousin (auparavant SPC La Rochelle)","01/30/07 00:00:00","00",,,,"MAISONNAIS-SUR-TARDOIRE","87091",20595,"08/22/25 09:38:00",,"R103001001","R1030010"
41,"R1192510","MONTBRON (MOULIN DE LAVAUD","LA TARDOIRE",457072,2077030,955286,389,"S","007007",5.72,0.57,43.1,62.3,75.09999999999999,"R1192510"," Altitude : 108.70m","11/08/02 00:00:00","00",,,,"MONTBRON","16223",10829,"08/08/25 11:26:00",,"R108001001","R1080010"
42,"R1254030","SAINT MARTIAL DE VALETTE (NONTRON)","BANDIAT",516648,6493701,946580,133,"S","007007",1.96,0.041,11.8,17.3,20.9,"NONTRON","L'ancienne appellation de cette station hydrométrique était : NONTRON

Jaugeage 10m en amont du pont de la RD 708

Changement gestionnaire : le 01/01/2015 : SPC La Rochelle --> DREAL Limousin
Changement gestionnaire : le 01/07/2016 : DREAL Limousin --> DREAL NA / HPC VCA",,"00",,,,"SAINT MARTIAL DE VALETTE","24451",14433,"08/22/25 09:48:00","11/21/08 16:31:00","R113041001","R1130410"
43,"R1302510","COULGENS - (PONT DE COULGENS)","LA TARDOIRE",441406,2092278,988.829,1200,"S","007007",,,,,,"R1302510"," Altitude : 62.34m","11/08/02 00:00:00",,,,,"COULGENS","16107",6600,"08/25/25 15:19:00",,"R118001001","R1180010"
44,"R2000000","MANSLE","Charente",481309,6534761,781821,2830,"S","007007",,,,,,"MANSLE","Jaugeage cumulé du Grand Pont et du Petit Pont",,"10",,,,"MANSLE","16206",5696,"08/22/25 09:55:00","12/08/08 10:44:00","R202001002","R2020010"
45,"R2100010","ORADOUR (MOULIN DE GOUGE)","L'AUME",467456,6539261,990839,191,"S","007007",1.77,0.059,13.7,19.8,23.8,"R2100010"," Altitude : 54.00m
Débits caractéristiques pris à partir du site","11/08/02 00:00:00","00",,,,"ORADOUR","16248",6498,"08/08/25 15:15:00",,"R210001003","R2100010"
46,"R2110020","ORADOUR (FRAIGNEE)","COUTURE",466723,6539085,,,"S","007007",,,,,,"R2110020","PT 70 SUR RD 332 ECOULEMENT LIBRE

création de frayère en 2010 ? depuis pousse végétation importante -->  jaugeage difficile",,,,,,"ORADOUR","16248",6662,"08/08/25 15:17:00","10/23/08 11:07:00","R211002001","R2110020"
47,"R2110030","ORADOUR (LE MAINE)","COUTURE",466827,6539809,,190,"S","007007",,,,,,"R2110030","POINT 72 SUR CARTE JAUGEAGES 20M A L'AVAL D'UN SEUIL

station QMJ",,"00",,,,"ORADOUR","16248",6853,"08/22/25 10:04:00","10/23/08 11:09:00","R211003001","R2110030"
48,"R2240020","VINDELLE- COURSAC","Charente",6518941,477807,,3722,"S","007007",,,,,,"R2240020","station créée le 07/06/2018",,,,,,"VINDELLE","16415",3411,"08/22/25 10:05:00","06/20/18 14:11:00","R222001003","R2220010"
49,"R2335050","GOND-PONTOUVRE-FOULPOUGNE","LA TOUVRE",431072,2077101,998714,125,"S","007007",13.1,4.64,30.9,46.1,56.1,"R2335050","RESURGENCE - ABSENCE DE BASSIN VERSANT","03/01/00 00:00:00","00",,,,"GOND-PONTOUVRE","16154",3143,"08/22/25 10:14:00",,"R233505001","R2335050"
50,"R3010010","VOEUIL ET GIGET","la charreau",477192,6503968,0.992,48.689999,"S","007007",0.313,0.049,1.26,1.88,2.29,"R3010010","PONT NEUF",,"00",,,,,,6152,"11/10/25 10:04:00","05/10/10 08:21:00","R301001001","R3010010"
51,"R3090020","MAINXE (JARNAC)","La CHARENTE",452660,6513775,879553,4160,"S","007007",,7.8,231,320,380,"JARNAC","..","04/16/07 00:00:00","10",,,,"MAINXE","16202",,"08/19/25 15:04:00",,"R307001011","R3070010"
53,"R4062510","NONAVILLE (PONT A BRAC)","le Né",458335,6496299,,262.20999,"S","007007",,,19.6,31.2,38.9,"R4062510","Déplacement de l'échelle à l'amont du pont : passé de 115 mm à 200 mm",,"00",,,,"NONAVILLE ","16247",4306,"11/10/25 10:36:00","08/12/08 13:07:00","R406000101","R4060001"
54,"R5023310","SAINT GERMAIN DE LUSIGNAN","LA SEUGNE",,,,150,"S","007007",,0.064,25,40,50,"R5023310","altitude approximative : 10m50
","05/03/05 00:00:00","00",,,,,,,"11/10/25 11:43:00",,"R502331002","R5023310"
55,"R5123320","SAINT SEURIN DE PALENNE (LA LIJARDIERE)","LA SEUGNE",376203,2073206,,902,"S","007007",6.69,0.762,52.5,90.8,116,"R5123320"," Altitude : 9.50m","05/10/04 00:00:00","00",,,,,,,"10/03/25 12:01:00",,"R512331003","R5123310"
56,"R5200010","CHANIERS","LA CHARENTE",376853,2082477,291,7412,"S","007007",,,307,448,541,"BEILLANT","Altitude : 4.5 m","05/10/04 00:00:00","10",,,,"CHANIERS 17160 - PONT SNCF","17086",,"11/10/25 11:24:00",,"R423001003","R4230010"
57,"R6092920","SAINT SEVERIN S/ BOUTONNE (M° DE CHATRE)","LA BOUTONNE",388048,2123622,,535,"S","007007",5.54,0.412,30.5,43.6,52.3,"R6092920",,"03/24/00 00:00:00","00",,,,,,,"02/04/25 09:57:00",,"R608001003","R6080010"
58,"R6110008","SAINT JULIEN DE L ESCAP","LA BOUTONNE",,,,,"S","007007",,,,,,"R6110008","Le fond du lit de la riviere au plus profond correspond a environ 62 cm à l'échelle.",,"10",,,,"ST EUTROPE",,,"07/25/19 17:58:00","10/18/17 10:20:00","R611000801","R6110008"
59,"R6164610","PUYROLLAND - (TOURNAY)","LA TREZENCE",370125,2119516,,75,"S","007007",,,9.16,12.6,14.9,"R6164610"," Altitude : 9.27m","11/08/02 00:00:00","00",,,,,,,"02/04/25 10:21:00",,"R616461001","R6164610"
60,"S0114010","SAINT ANDRE DE LIDON - (PT DE ST ANDRE)","LA SEUDRE",407939,6507366,958751,227,"S","007007",0.754,0.013,4.98,10.9,14.8,"S0114010","Station SPC et Hydro
 Altitude : 16.45m

Station QMJ et point de référence étiage pour le bassin de la Seudre

station influencée:
- par une pelle 'Chez Viguiaud' 200 m en aval pour H> 32-35 cm (seuil légèrement noyé ou noyé)

contact: 
Yann DAVITOGLU
Technicien Rivières et Zones Humides
Syndicat Mixte du Bassin de la Seudre et de ses Affluents
8, rue de la Seudre
17260 Saint-André-de-Lidon
Tel. : 05 46 90 89 75 
Fax : 05 46 94 29 38","11/08/02 00:00:00","00",,157,62,"SAINT-ANDRÉ-DE-LIDON","17310",1661,"10/03/25 12:11:00",,"S011401003","S0114010"
61,"S0114510","CORME ECLUSE","LA SEUDRE",400102,6512452,968980,307,"S","007007",,,6.73,11.4,14.4,"S0114510","Station SPC et Hydro",,"10",,,,"CORME-ÉCLUSE","17119",40,"08/22/25 14:26:00","07/25/08 07:46:00","S011451001","S0114510"
